Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478159,1733925169.318645538,1,OK,0.6419495,0.2503259,0.4202333,0.5904589,-147.185,-177.235,-1802.289,0.2592625,3,OK,-147.017,-177.300,-1802.450,OK,-118.401,-265.657,-1812.960,OK,-179.414,-256.551,-1750.995,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478159,1733925169.318645538,1,OK,0.2272922,0.1241792,0.3203569,-0.9112021,29.601,133.353,-1744.515,0.5118199,3,OK,29.291,133.052,-1744.736,OK,135.185,143.399,-1742.084,OK,94.573,79.178,-1790.678,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478159,1733925169.318645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478162,1733925169.368645538,1,OK,0.6418969,0.2505897,0.4201107,0.5904914,-147.152,-177.221,-1802.254,0.2469859,3,OK,-146.992,-177.288,-1802.406,OK,-118.369,-265.657,-1812.991,OK,-179.391,-256.545,-1750.993,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478162,1733925169.368645538,1,OK,0.2272771,0.1240837,0.3202290,-0.9112638,29.622,133.366,-1744.525,0.5197864,3,OK,29.306,133.063,-1744.748,OK,135.208,143.399,-1742.121,OK,94.591,79.189,-1790.669,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478162,1733925169.368645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478165,1733925169.418645538,1,OK,0.6418918,0.2505589,0.4201353,0.5904926,-147.137,-177.233,-1802.271,0.2526506,3,OK,-146.974,-177.294,-1802.428,OK,-118.352,-265.665,-1813.002,OK,-179.377,-256.563,-1751.000,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478165,1733925169.418645538,1,OK,0.2273228,0.1246338,0.3200327,-0.9112463,29.620,133.389,-1744.593,0.5286891,3,OK,29.318,133.071,-1744.829,OK,135.217,143.401,-1742.062,OK,94.600,79.188,-1790.656,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478165,1733925169.418645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478168,1733925169.468645538,1,OK,0.6419312,0.2505581,0.4199462,0.5905846,-147.171,-177.212,-1802.247,0.2410970,3,OK,-147.015,-177.278,-1802.395,OK,-118.392,-265.648,-1812.983,OK,-179.413,-256.545,-1751.027,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478168,1733925169.468645538,1,OK,0.2272662,0.1243338,0.3203244,-0.9111989,29.605,133.376,-1744.567,0.5153158,3,OK,29.289,133.074,-1744.789,OK,135.197,143.408,-1742.105,OK,94.579,79.190,-1790.714,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478168,1733925169.468645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478171,1733925169.518645538,1,OK,0.6419691,0.2503216,0.4199622,0.5906323,-147.196,-177.234,-1802.313,0.2484332,3,OK,-147.035,-177.302,-1802.467,OK,-118.403,-265.658,-1813.006,OK,-179.433,-256.566,-1751.083,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478171,1733925169.518645538,1,OK,0.2272377,0.1242659,0.3203452,-0.9112080,29.588,133.360,-1744.553,0.5145373,3,OK,29.276,133.059,-1744.775,OK,135.173,143.383,-1742.113,OK,94.560,79.182,-1790.704,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478171,1733925169.518645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478174,1733925169.568645538,1,OK,0.6418978,0.2504501,0.4201670,0.5905096,-147.155,-177.226,-1802.272,0.2559997,3,OK,-146.990,-177.299,-1802.429,OK,-118.364,-265.647,-1812.981,OK,-179.386,-256.550,-1750.996,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478174,1733925169.568645538,1,OK,0.2273285,0.1242785,0.3198971,-0.9113410,29.616,133.393,-1744.593,0.5247619,3,OK,29.306,133.082,-1744.822,OK,135.206,143.414,-1742.138,OK,94.591,79.183,-1790.669,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478174,1733925169.568645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478177,1733925169.618645538,1,OK,0.6418926,0.2504529,0.4203310,0.5903974,-147.144,-177.237,-1802.250,0.2586411,3,OK,-146.978,-177.313,-1802.407,OK,-118.355,-265.660,-1812.949,OK,-179.372,-256.543,-1750.936,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478177,1733925169.618645538,1,OK,0.2272392,0.1238938,0.3203666,-0.9112507,29.642,133.356,-1744.572,0.5077308,3,OK,29.321,133.064,-1744.786,OK,135.225,143.404,-1742.207,OK,94.605,79.176,-1790.768,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478177,1733925169.618645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478180,1733925169.668645538,1,OK,0.6419041,0.2503972,0.4201552,0.5905336,-147.150,-177.239,-1802.281,0.2545851,3,OK,-146.985,-177.304,-1802.440,OK,-118.361,-265.662,-1812.974,OK,-179.371,-256.568,-1751.014,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478180,1733925169.668645538,1,OK,0.2272746,0.1240594,0.3202734,-0.9112521,29.616,133.363,-1744.539,0.5131988,3,OK,29.297,133.065,-1744.758,OK,135.205,143.408,-1742.134,OK,94.583,79.176,-1790.704,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478180,1733925169.668645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478183,1733925169.718645538,1,OK,0.6419066,0.2501850,0.4202690,0.5905399,-147.170,-177.257,-1802.323,0.2634621,3,OK,-146.999,-177.322,-1802.488,OK,-118.363,-265.669,-1812.975,OK,-179.379,-256.582,-1751.024,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478183,1733925169.718645538,1,OK,0.2272300,0.1239269,0.3202191,-0.9113004,29.609,133.354,-1744.521,0.5142730,3,OK,29.283,133.058,-1744.737,OK,135.195,143.386,-1742.152,OK,94.572,79.163,-1790.688,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478183,1733925169.718645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478186,1733925169.768645538,1,OK,0.6418514,0.2505170,0.4203590,0.5903951,-147.159,-177.236,-1802.266,0.2564552,3,OK,-146.994,-177.304,-1802.424,OK,-118.372,-265.665,-1812.972,OK,-179.377,-256.550,-1750.953,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478186,1733925169.768645538,1,OK,0.2272504,0.1239698,0.3203253,-0.9112521,29.611,133.361,-1744.516,0.5154850,3,OK,29.287,133.064,-1744.734,OK,135.198,143.401,-1742.138,OK,94.577,79.186,-1790.692,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478186,1733925169.768645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478189,1733925169.818645538,1,OK,0.6418952,0.2502848,0.4203455,0.5904555,-147.129,-177.258,-1802.306,0.2615819,3,OK,-146.959,-177.321,-1802.470,OK,-118.333,-265.677,-1812.967,OK,-179.339,-256.574,-1750.993,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478189,1733925169.818645538,1,OK,0.2272359,0.1241531,0.3202953,-0.9112413,29.641,133.362,-1744.572,0.5093749,3,OK,29.323,133.067,-1744.788,OK,135.226,143.392,-1742.151,OK,94.612,79.170,-1790.734,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478189,1733925169.818645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478192,1733925169.868645538,1,OK,0.6417970,0.2504788,0.4204357,0.5904157,-147.150,-177.250,-1802.283,0.2626548,3,OK,-146.981,-177.325,-1802.444,OK,-118.354,-265.665,-1812.982,OK,-179.351,-256.565,-1750.960,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478192,1733925169.868645538,1,OK,0.2272983,0.1240438,0.3200880,-0.9113135,29.619,133.379,-1744.583,0.5227249,3,OK,29.292,133.077,-1744.805,OK,135.213,143.415,-1742.183,OK,94.589,79.185,-1790.714,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478192,1733925169.868645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478195,1733925169.918645538,1,OK,0.6418858,0.2503802,0.4201504,0.5905642,-147.160,-177.240,-1802.177,0.2498953,3,OK,-146.998,-177.311,-1802.331,OK,-118.369,-265.661,-1812.866,OK,-179.369,-256.565,-1750.922,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478195,1733925169.918645538,1,OK,0.2273180,0.1241424,0.3200433,-0.9113109,29.578,133.373,-1744.598,0.5237933,3,OK,29.257,133.067,-1744.822,OK,135.173,143.407,-1742.173,OK,94.550,79.175,-1790.711,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478195,1733925169.918645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478198,1733925169.968645538,1,OK,0.6418077,0.2507184,0.4201916,0.5904762,-147.155,-177.234,-1802.188,0.2433543,3,OK,-146.999,-177.301,-1802.338,OK,-118.372,-265.671,-1812.947,OK,-179.376,-256.559,-1750.926,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478198,1733925169.968645538,1,OK,0.2273032,0.1240720,0.3200341,-0.9113274,29.588,133.389,-1744.617,0.5197883,3,OK,29.264,133.088,-1744.838,OK,135.182,143.425,-1742.207,OK,94.560,79.184,-1790.741,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478198,1733925169.968645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478201,1733925170.018645538,1,OK,0.6418803,0.2504622,0.4201622,0.5905269,-147.114,-177.239,-1802.221,0.2492937,3,OK,-146.953,-177.302,-1802.377,OK,-118.324,-265.668,-1812.929,OK,-179.334,-256.566,-1750.956,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478201,1733925170.018645538,1,OK,0.2273117,0.1241882,0.3199970,-0.9113224,29.620,133.394,-1744.553,0.5196546,3,OK,29.305,133.089,-1744.777,OK,135.208,143.421,-1742.119,OK,94.596,79.189,-1790.656,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478201,1733925170.018645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478204,1733925170.068645538,1,OK,0.6418162,0.2506702,0.4200401,0.5905952,-147.103,-177.242,-1802.217,0.2416023,3,OK,-146.948,-177.310,-1802.366,OK,-118.315,-265.672,-1812.977,OK,-179.324,-256.581,-1750.991,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478204,1733925170.068645538,1,OK,0.2272792,0.1240355,0.3199791,-0.9113576,29.634,133.394,-1744.497,0.5121692,3,OK,29.314,133.097,-1744.715,OK,135.218,143.424,-1742.096,OK,94.604,79.176,-1790.621,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478204,1733925170.068645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478207,1733925170.118645538,1,OK,0.6419816,0.2503855,0.4200102,0.5905575,-147.161,-177.248,-1802.256,0.2465468,3,OK,-147.002,-177.320,-1802.407,OK,-118.380,-265.677,-1812.954,OK,-179.402,-256.569,-1751.016,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478207,1733925170.118645538,1,OK,0.2273002,0.1240743,0.3201796,-0.9112767,29.590,133.375,-1744.551,0.5059142,3,OK,29.268,133.085,-1744.764,OK,135.174,143.421,-1742.139,OK,94.569,79.173,-1790.706,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478207,1733925170.118645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478210,1733925170.168645538,1,OK,0.6420631,0.2504208,0.4198860,0.5905422,-147.277,-177.206,-1802.268,0.2412438,3,OK,-147.122,-177.282,-1802.414,OK,-118.505,-265.644,-1812.979,OK,-179.547,-256.520,-1751.042,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478210,1733925170.168645538,1,OK,0.2272767,0.1240933,0.3200739,-0.9113171,29.585,133.391,-1744.544,0.5159786,3,OK,29.256,133.095,-1744.760,OK,135.174,143.418,-1742.135,OK,94.562,79.185,-1790.674,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478210,1733925170.168645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478213,1733925170.218645538,1,OK,0.6426977,0.2500153,0.4191272,0.5905628,-147.490,-177.207,-1802.273,0.2462788,3,OK,-147.332,-177.290,-1802.420,OK,-118.774,-265.656,-1812.925,OK,-179.916,-256.501,-1751.125,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478213,1733925170.218645538,1,OK,0.2273017,0.1241853,0.3198877,-0.9113637,29.610,133.326,-1744.499,0.5301535,3,OK,29.294,133.014,-1744.729,OK,135.201,143.339,-1742.071,OK,94.580,79.123,-1790.576,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478213,1733925170.218645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478216,1733925170.268645538,1,OK,0.6437864,0.2491521,0.4182846,0.5903392,-148.038,-177.108,-1802.428,0.2563560,3,OK,-147.871,-177.182,-1802.585,OK,-119.409,-265.597,-1812.917,OK,-180.714,-256.333,-1751.303,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478216,1733925170.268645538,1,OK,0.2272621,0.1242030,0.3200772,-0.9113046,29.580,133.282,-1744.391,0.5350441,3,OK,29.257,132.969,-1744.622,OK,135.178,143.293,-1741.967,OK,94.547,79.098,-1790.493,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478216,1733925170.268645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478219,1733925170.318645538,1,OK,0.6457370,0.2479967,0.4162940,0.5901022,-149.031,-176.998,-1802.540,0.2526394,3,OK,-148.866,-177.072,-1802.693,OK,-120.580,-265.568,-1812.845,OK,-182.190,-256.117,-1751.575,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478219,1733925170.318645538,1,OK,0.2272424,0.1244012,0.3207304,-0.9110528,29.461,133.065,-1744.161,0.5249628,3,OK,29.139,132.760,-1744.386,OK,135.054,143.090,-1741.705,OK,94.444,78.943,-1790.344,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478219,1733925170.318645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478222,1733925170.368645538,1,OK,0.6485032,0.2467446,0.4131074,0.5898330,-150.425,-176.836,-1802.749,0.2348814,3,OK,-150.272,-176.916,-1802.887,OK,-122.254,-265.532,-1812.888,OK,-184.303,-255.824,-1752.094,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478222,1733925170.368645538,1,OK,0.2272103,0.1244704,0.3214000,-0.9108154,29.371,132.759,-1743.765,0.5276247,3,OK,29.052,132.452,-1743.993,OK,134.960,142.793,-1741.314,OK,94.357,78.720,-1790.028,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478222,1733925170.368645538,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478225,1733925170.418645542,1,OK,0.6521498,0.2449666,0.4091832,0.5892886,-152.194,-176.609,-1803.072,0.2316253,3,OK,-152.042,-176.693,-1803.206,OK,-124.401,-265.462,-1812.948,OK,-187.010,-255.408,-1752.761,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478225,1733925170.418645542,1,OK,0.2270647,0.1250989,0.3235436,-0.9100063,29.313,132.140,-1743.079,0.5142511,3,OK,28.994,131.842,-1743.302,OK,134.902,142.208,-1740.534,OK,94.319,78.307,-1789.603,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478225,1733925170.418645542,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478228,1733925170.468645542,1,OK,0.6571185,0.2414632,0.4040106,0.5887837,-154.588,-176.390,-1803.705,0.2541403,3,OK,-154.421,-176.480,-1803.849,OK,-127.242,-265.398,-1813.026,OK,-190.604,-254.924,-1753.828,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478228,1733925170.468645542,1,OK,0.2269918,0.1261366,0.3257166,-0.9091056,29.060,131.102,-1741.875,0.5285521,3,OK,28.738,130.796,-1742.105,OK,134.648,141.157,-1739.177,OK,94.126,77.536,-1788.578,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478228,1733925170.468645542,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478231,1733925170.518645542,1,OK,0.6628940,0.2383089,0.3972447,0.5881982,-157.481,-176.022,-1804.231,0.2414806,3,OK,-157.321,-176.111,-1804.365,OK,-130.715,-265.263,-1813.144,OK,-194.983,-254.270,-1755.030,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478231,1733925170.518645542,1,OK,0.2272273,0.1288548,0.3276715,-0.9079623,28.377,129.885,-1740.159,0.5597913,3,OK,28.060,129.556,-1740.413,OK,133.968,139.874,-1736.945,OK,93.619,76.594,-1786.829,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478231,1733925170.518645542,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478234,1733925170.568645542,1,OK,0.6694975,0.2345857,0.3896138,0.5873191,-160.768,-175.625,-1804.978,0.2365915,3,OK,-160.612,-175.721,-1805.102,OK,-134.699,-265.120,-1813.393,OK,-199.954,-253.506,-1756.543,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478234,1733925170.568645542,1,OK,0.2276757,0.1301295,0.3318790,-0.9061382,27.872,128.610,-1738.480,0.5533577,3,OK,27.556,128.286,-1738.735,OK,133.445,138.781,-1735.038,OK,93.264,75.862,-1785.580,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478234,1733925170.568645542,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1791478237,1733925170.618645542,1,OK,0.6768780,0.2300212,0.3812224,0.5861705,-164.452,-175.134,-1806.028,0.2419411,3,OK,-164.291,-175.234,-1806.152,OK,-139.157,-264.899,-1813.827,OK,-205.509,-252.564,-1758.419,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1791478237,1733925170.618645542,1,OK,0.2282713,0.1312322,0.3359248,-0.9043367,27.258,127.254,-1736.680,0.5460239,3,OK,26.935,126.939,-1736.931,OK,132.803,137.631,-1733.037,OK,92.822,75.060,-1784.188,Port 0x03: BrainLAB Black Probe  s/n:38220401,1791478237,1733925170.618645542,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
