Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958410,1733849840.168727797,1,OK,0.6767546,-0.2134894,0.3045791,-0.6353401,-171.268,190.888,-1811.853,0.2166109,3,OK,-171.242,191.007,-1811.883,OK,-199.095,270.416,-1770.654,OK,-148.472,283.331,-1840.138,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958410,1733849840.168727797,1,OK,0.9890725,-0.1223174,-0.0814067,-0.0121209,104.901,-190.461,-1846.554,0.6314379,3,OK,105.002,-189.927,-1846.684,OK,14.998,-150.694,-1885.163,OK,89.126,-101.095,-1878.028,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958410,1733849840.168727797,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958413,1733849840.218727797,1,OK,0.6767589,-0.2135129,0.3044322,-0.6353980,-171.254,190.888,-1811.814,0.2182985,3,OK,-171.232,191.003,-1811.840,OK,-199.083,270.423,-1770.649,OK,-148.456,283.332,-1840.115,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958413,1733849840.218727797,1,OK,0.9890873,-0.1224301,-0.0810479,-0.0121815,104.925,-190.458,-1846.528,0.6296363,3,OK,105.008,-189.914,-1846.666,OK,15.011,-150.693,-1885.076,OK,89.158,-101.092,-1878.006,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958413,1733849840.218727797,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958416,1733849840.268727797,1,OK,0.6767738,-0.2133637,0.3044913,-0.6354039,-171.236,190.881,-1811.840,0.2265348,3,OK,-171.211,191.000,-1811.870,OK,-199.059,270.412,-1770.660,OK,-148.430,283.322,-1840.104,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958416,1733849840.268727797,1,OK,0.9890802,-0.1224787,-0.0810616,-0.0121805,104.941,-190.466,-1846.544,0.6323098,3,OK,105.026,-189.922,-1846.682,OK,15.031,-150.701,-1885.099,OK,89.171,-101.106,-1878.032,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958416,1733849840.268727797,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958419,1733849840.318727797,1,OK,0.6767899,-0.2137852,0.3041591,-0.6354042,-171.225,190.883,-1811.728,0.2153787,3,OK,-171.212,190.999,-1811.741,OK,-199.077,270.423,-1770.627,OK,-148.451,283.328,-1840.098,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958419,1733849840.318727797,1,OK,0.9891465,-0.1222473,-0.0805970,-0.0122056,104.933,-190.481,-1846.579,0.6331867,3,OK,105.000,-189.927,-1846.725,OK,15.006,-150.696,-1885.025,OK,89.150,-101.102,-1878.008,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958419,1733849840.318727797,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958422,1733849840.368727797,1,OK,0.6767896,-0.2132833,0.3046887,-0.6353195,-171.258,190.897,-1811.887,0.2262348,3,OK,-171.221,191.022,-1811.934,OK,-199.087,270.427,-1770.650,OK,-148.457,283.329,-1840.120,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958422,1733849840.368727797,1,OK,0.9890827,-0.1227563,-0.0806073,-0.0121969,104.949,-190.448,-1846.545,0.6224804,3,OK,105.024,-189.913,-1846.684,OK,15.023,-150.692,-1885.035,OK,89.166,-101.087,-1878.072,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958422,1733849840.368727797,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958425,1733849840.418727797,1,OK,0.6767791,-0.2132451,0.3045205,-0.6354242,-171.241,190.879,-1811.801,0.2381148,3,OK,-171.210,191.003,-1811.839,OK,-199.059,270.415,-1770.613,OK,-148.431,283.310,-1840.034,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958425,1733849840.418727797,1,OK,0.9890737,-0.1227781,-0.0806874,-0.0121761,104.952,-190.460,-1846.533,0.6194003,3,OK,105.025,-189.925,-1846.673,OK,15.029,-150.716,-1885.038,OK,89.173,-101.098,-1878.067,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958425,1733849840.418727797,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958428,1733849840.468727800,1,OK,0.6768360,-0.2137415,0.3040274,-0.6354329,-171.216,190.885,-1811.733,0.2251011,3,OK,-171.210,191.001,-1811.739,OK,-199.071,270.420,-1770.666,OK,-148.444,283.336,-1840.099,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958428,1733849840.468727800,1,OK,0.9891074,-0.1224296,-0.0808087,-0.0121433,104.940,-190.462,-1846.562,0.6291368,3,OK,105.024,-189.921,-1846.700,OK,15.012,-150.696,-1885.066,OK,89.152,-101.094,-1878.035,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958428,1733849840.468727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958431,1733849840.518727800,1,OK,0.6767702,-0.2134177,0.3044464,-0.6354112,-171.249,190.890,-1811.849,0.2285734,3,OK,-171.223,191.010,-1811.880,OK,-199.074,270.428,-1770.681,OK,-148.449,283.326,-1840.124,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958431,1733849840.518727800,1,OK,0.9890381,-0.1227269,-0.0812034,-0.0121520,104.931,-190.449,-1846.516,0.6267282,3,OK,105.022,-189.914,-1846.650,OK,15.025,-150.707,-1885.117,OK,89.165,-101.099,-1878.056,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958431,1733849840.518727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958434,1733849840.568727800,1,OK,0.6767208,-0.2134650,0.3047140,-0.6353196,-171.271,190.884,-1811.841,0.2096969,3,OK,-171.241,190.996,-1811.878,OK,-199.092,270.415,-1770.609,OK,-148.469,283.328,-1840.117,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958434,1733849840.568727800,1,OK,0.9890822,-0.1224632,-0.0810704,-0.0121151,104.921,-190.469,-1846.526,0.6313747,3,OK,105.005,-189.925,-1846.665,OK,15.004,-150.718,-1885.080,OK,89.142,-101.110,-1878.012,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958434,1733849840.568727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958437,1733849840.618727800,1,OK,0.6768034,-0.2132659,0.3044106,-0.6354439,-171.268,190.894,-1811.851,0.2337516,3,OK,-171.245,191.011,-1811.879,OK,-199.092,270.426,-1770.687,OK,-148.458,283.337,-1840.099,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958437,1733849840.618727800,1,OK,0.9890641,-0.1227196,-0.0808971,-0.0121543,104.921,-190.447,-1846.530,0.6270964,3,OK,105.003,-189.910,-1846.667,OK,15.005,-150.700,-1885.072,OK,89.141,-101.095,-1878.059,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958437,1733849840.618727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958440,1733849840.668727800,1,OK,0.6766634,-0.2134061,0.3047913,-0.6353635,-171.275,190.884,-1811.906,0.2098963,3,OK,-171.245,190.997,-1811.943,OK,-199.078,270.416,-1770.663,OK,-148.456,283.328,-1840.171,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958440,1733849840.668727800,1,OK,0.9890885,-0.1225207,-0.0808988,-0.0121636,104.939,-190.464,-1846.539,0.6262565,3,OK,105.017,-189.925,-1846.678,OK,15.025,-150.706,-1885.064,OK,89.160,-101.098,-1878.032,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958440,1733849840.668727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958443,1733849840.718727800,1,OK,0.6768477,-0.2137906,0.3038764,-0.6354762,-171.232,190.877,-1811.735,0.2313910,3,OK,-171.226,190.988,-1811.740,OK,-199.092,270.426,-1770.703,OK,-148.466,283.324,-1840.115,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958443,1733849840.718727800,1,OK,0.9890991,-0.1224324,-0.0809042,-0.0121594,104.932,-190.467,-1846.540,0.6315859,3,OK,105.012,-189.921,-1846.680,OK,15.012,-150.704,-1885.060,OK,89.154,-101.103,-1878.014,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958443,1733849840.718727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958446,1733849840.768727800,1,OK,0.6768007,-0.2137650,0.3040928,-0.6354313,-171.221,190.877,-1811.737,0.2154410,3,OK,-171.208,190.985,-1811.752,OK,-199.076,270.425,-1770.648,OK,-148.444,283.323,-1840.108,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958446,1733849840.768727800,1,OK,0.9890427,-0.1229716,-0.0807612,-0.0122500,104.928,-190.458,-1846.536,0.6274449,3,OK,105.009,-189.920,-1846.674,OK,15.013,-150.706,-1885.074,OK,89.163,-101.117,-1878.104,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958446,1733849840.768727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958449,1733849840.818727800,1,OK,0.6767380,-0.2133817,0.3046092,-0.6353796,-171.209,190.884,-1811.847,0.2300492,3,OK,-171.178,190.998,-1811.885,OK,-199.021,270.423,-1770.648,OK,-148.409,283.319,-1840.100,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958449,1733849840.818727800,1,OK,0.9890749,-0.1228736,-0.0805149,-0.0122570,104.949,-190.475,-1846.529,0.6272264,3,OK,105.020,-189.936,-1846.670,OK,15.032,-150.712,-1885.010,OK,89.170,-101.124,-1878.072,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958449,1733849840.818727800,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958452,1733849840.868698417,1,OK,0.6766727,-0.2134543,0.3046002,-0.6354290,-171.203,190.894,-1811.786,0.2252685,3,OK,-171.176,191.010,-1811.818,OK,-199.004,270.435,-1770.597,OK,-148.392,283.328,-1840.062,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958452,1733849840.868698417,1,OK,0.9890790,-0.1227861,-0.0806060,-0.0122087,104.941,-190.460,-1846.511,0.6270908,3,OK,105.017,-189.923,-1846.650,OK,15.019,-150.701,-1885.003,OK,89.157,-101.107,-1878.042,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958452,1733849840.868698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958455,1733849840.918698417,1,OK,0.6766331,-0.2136692,0.3046281,-0.6353856,-171.186,190.883,-1811.767,0.2112738,3,OK,-171.165,191.001,-1811.792,OK,-198.989,270.418,-1770.580,OK,-148.385,283.324,-1840.090,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958455,1733849840.918698417,1,OK,0.9890660,-0.1227185,-0.0808682,-0.0122025,104.932,-190.471,-1846.539,0.6276851,3,OK,105.011,-189.934,-1846.677,OK,15.025,-150.714,-1885.074,OK,89.157,-101.116,-1878.066,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958455,1733849840.918698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958458,1733849840.968698417,1,OK,0.6766329,-0.2134769,0.3047418,-0.6353959,-171.196,190.887,-1811.811,0.2201852,3,OK,-171.171,191.005,-1811.842,OK,-198.985,270.419,-1770.599,OK,-148.383,283.327,-1840.085,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958458,1733849840.968698417,1,OK,0.9891212,-0.1223183,-0.0808069,-0.0121550,104.939,-190.485,-1846.563,0.6286110,3,OK,105.015,-189.940,-1846.704,OK,15.013,-150.716,-1885.056,OK,89.155,-101.110,-1878.015,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958458,1733849840.968698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958461,1733849841.018698417,1,OK,0.6766287,-0.2136383,0.3046539,-0.6353883,-171.223,190.901,-1811.793,0.2142495,3,OK,-171.201,191.022,-1811.818,OK,-199.021,270.435,-1770.603,OK,-148.420,283.342,-1840.107,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958461,1733849841.018698417,1,OK,0.9890152,-0.1230191,-0.0810321,-0.0122038,104.896,-190.443,-1846.487,0.6244349,3,OK,104.985,-189.915,-1846.620,OK,14.994,-150.703,-1885.080,OK,89.129,-101.105,-1878.077,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958461,1733849841.018698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958464,1733849841.068698417,1,OK,0.6767932,-0.2134737,0.3043779,-0.6354007,-171.261,190.883,-1811.858,0.2200154,3,OK,-171.239,190.996,-1811.884,OK,-199.099,270.420,-1770.699,OK,-148.464,283.329,-1840.153,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958464,1733849841.068698417,1,OK,0.9890818,-0.1228385,-0.0804883,-0.0122248,104.950,-190.468,-1846.533,0.6266885,3,OK,105.020,-189.928,-1846.674,OK,15.027,-150.709,-1885.006,OK,89.166,-101.115,-1878.069,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958464,1733849841.068698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958467,1733849841.118698417,1,OK,0.6770601,-0.2135335,0.3040006,-0.6352769,-171.414,190.864,-1811.837,0.2087806,3,OK,-171.396,190.980,-1811.859,OK,-199.337,270.386,-1770.714,OK,-148.657,283.320,-1840.168,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958467,1733849841.118698417,1,OK,0.9890773,-0.1227907,-0.0806205,-0.0121980,104.953,-190.436,-1846.550,0.6264884,3,OK,105.031,-189.903,-1846.687,OK,15.037,-150.675,-1885.045,OK,89.161,-101.082,-1878.085,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958467,1733849841.118698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958470,1733849841.168698417,1,OK,0.6777959,-0.2128780,0.3030884,-0.6351480,-171.784,190.775,-1812.004,0.2249698,3,OK,-171.766,190.900,-1812.024,OK,-199.884,270.259,-1770.956,OK,-149.070,283.253,-1840.253,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958470,1733849841.168698417,1,OK,0.9891448,-0.1221278,-0.0808167,-0.0120839,104.969,-190.453,-1846.635,0.6346883,3,OK,105.039,-189.902,-1846.780,OK,15.047,-150.685,-1885.110,OK,89.167,-101.075,-1878.053,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958470,1733849841.168698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958473,1733849841.218698417,1,OK,0.6787809,-0.2124947,0.3018332,-0.6348222,-172.309,190.654,-1812.167,0.2019255,3,OK,-172.300,190.770,-1812.177,OK,-200.685,270.088,-1771.217,OK,-149.687,283.187,-1840.422,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958473,1733849841.218698417,1,OK,0.9890870,-0.1223923,-0.0811404,-0.0119663,105.045,-190.394,-1846.606,0.6260393,3,OK,105.129,-189.859,-1846.742,OK,15.125,-150.666,-1885.164,OK,89.235,-101.029,-1878.088,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958473,1733849841.218698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958476,1733849841.268698417,1,OK,0.6803027,-0.2110947,0.3002658,-0.6344035,-173.123,190.498,-1812.479,0.2095877,3,OK,-173.100,190.607,-1812.508,OK,-201.878,269.859,-1771.592,OK,-150.595,283.086,-1840.542,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958476,1733849841.268698417,1,OK,0.9891187,-0.1225167,-0.0805684,-0.0119374,105.140,-190.319,-1846.625,0.6300584,3,OK,105.210,-189.776,-1846.768,OK,15.196,-150.594,-1885.083,OK,89.301,-100.962,-1878.108,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958476,1733849841.268698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958479,1733849841.318698417,1,OK,0.6824972,-0.2094809,0.2974057,-0.6339284,-174.141,190.241,-1812.779,0.2349629,3,OK,-174.122,190.349,-1812.802,OK,-203.450,269.505,-1772.146,OK,-151.775,282.907,-1840.677,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958479,1733849841.318698417,1,OK,0.9890938,-0.1223619,-0.0811597,-0.0115783,105.292,-190.213,-1846.567,0.6297002,3,OK,105.371,-189.670,-1846.706,OK,15.340,-150.556,-1885.118,OK,89.413,-100.864,-1878.045,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958479,1733849841.318698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958482,1733849841.368698417,1,OK,0.6850550,-0.2081621,0.2942076,-0.6330957,-175.395,189.984,-1813.134,0.2154020,3,OK,-175.388,190.092,-1813.141,OK,-205.393,269.106,-1772.762,OK,-153.268,282.763,-1840.958,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958482,1733849841.368698417,1,OK,0.9890439,-0.1229478,-0.0809438,-0.0111365,105.555,-189.954,-1846.436,0.6326041,3,OK,105.630,-189.410,-1846.577,OK,15.563,-150.408,-1884.985,OK,89.589,-100.658,-1878.017,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958482,1733849841.368698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958485,1733849841.418698417,1,OK,0.6879919,-0.2064331,0.2905412,-0.6321695,-176.991,189.650,-1813.603,0.1948935,3,OK,-176.995,189.745,-1813.597,OK,-207.774,268.612,-1773.522,OK,-155.120,282.564,-1841.307,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958485,1733849841.418698417,1,OK,0.9890250,-0.1235963,-0.0802815,-0.0104097,105.993,-189.528,-1846.494,0.6212970,3,OK,106.069,-188.996,-1846.632,OK,15.893,-150.145,-1884.964,OK,89.878,-100.281,-1878.179,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958485,1733849841.418698417,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786958488,1733849841.468698413,1,OK,0.6916942,-0.2031443,0.2865881,-0.6309983,-178.851,189.262,-1814.348,0.2269024,3,OK,-178.832,189.379,-1814.372,OK,-210.556,268.000,-1774.486,OK,-157.256,282.299,-1841.612,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786958488,1733849841.468698413,1,OK,0.9890154,-0.1238772,-0.0800653,-0.0096186,106.471,-189.085,-1846.391,0.6323794,3,OK,106.545,-188.544,-1846.533,OK,16.294,-149.856,-1884.830,OK,90.201,-99.898,-1878.123,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786958488,1733849841.468698413,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
