Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737685,1733246161.418795799,1,OK,0.6989594,-0.1405529,0.2736759,-0.6456022,-46.714,183.624,-1582.221,0.2780906,3,OK,-46.754,183.710,-1582.172,OK,-79.430,261.001,-1540.837,OK,-18.793,277.209,-1600.734,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737685,1733246161.418795799,1,OK,0.9483464,0.0062993,-0.0163385,-0.3167531,171.946,-169.661,-1652.500,0.6416979,3,OK,172.363,-169.412,-1652.478,OK,122.782,-77.276,-1667.117,OK,211.398,-82.169,-1656.816,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737685,1733246161.418795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737688,1733246161.468795799,1,OK,0.6988597,-0.1404278,0.2740808,-0.6455655,-46.689,183.661,-1582.296,0.2682398,3,OK,-46.716,183.751,-1582.258,OK,-79.378,261.031,-1540.827,OK,-18.750,277.234,-1600.761,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737688,1733246161.468795799,1,OK,0.9483065,0.0058660,-0.0164664,-0.3168740,171.931,-169.640,-1652.451,0.6363629,3,OK,172.348,-169.386,-1652.431,OK,122.781,-77.258,-1667.151,OK,211.418,-82.165,-1656.846,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737688,1733246161.468795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737691,1733246161.518795799,1,OK,0.6987814,-0.1402963,0.2743037,-0.6455842,-46.662,183.637,-1582.282,0.2700122,3,OK,-46.685,183.715,-1582.250,OK,-79.322,261.011,-1540.773,OK,-18.708,277.211,-1600.704,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737691,1733246161.518795799,1,OK,0.9483079,0.0057637,-0.0163607,-0.3168772,171.947,-169.658,-1652.460,0.6360625,3,OK,172.368,-169.418,-1652.438,OK,122.793,-77.268,-1667.160,OK,211.432,-82.179,-1656.878,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737691,1733246161.518795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737694,1733246161.568795799,1,OK,0.6987354,-0.1406124,0.2740513,-0.6456725,-46.619,183.670,-1582.187,0.2781414,3,OK,-46.655,183.755,-1582.141,OK,-79.270,261.055,-1540.754,OK,-18.670,277.243,-1600.689,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737694,1733246161.568795799,1,OK,0.9483093,0.0061398,-0.0163164,-0.3168685,171.915,-169.654,-1652.509,0.6380161,3,OK,172.330,-169.398,-1652.488,OK,122.767,-77.267,-1667.145,OK,211.396,-82.174,-1656.855,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737694,1733246161.568795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737697,1733246161.618795799,1,OK,0.6987734,-0.1401256,0.2740532,-0.6457364,-46.625,183.662,-1582.235,0.3014919,3,OK,-46.651,183.747,-1582.200,OK,-79.263,261.051,-1540.788,OK,-18.663,277.219,-1600.631,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737697,1733246161.618795799,1,OK,0.9483223,0.0061737,-0.0165519,-0.3168165,171.918,-169.659,-1652.473,0.6358194,3,OK,172.329,-169.404,-1652.453,OK,122.774,-77.282,-1667.139,OK,211.391,-82.169,-1656.809,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737697,1733246161.618795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737700,1733246161.668795799,1,OK,0.6986985,-0.1403803,0.2743046,-0.6456553,-46.584,183.665,-1582.250,0.2771315,3,OK,-46.606,183.747,-1582.218,OK,-79.220,261.052,-1540.756,OK,-18.623,277.227,-1600.687,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737700,1733246161.668795799,1,OK,0.9483082,0.0055335,-0.0159874,-0.3168995,171.945,-169.650,-1652.436,0.6390759,3,OK,172.362,-169.406,-1652.415,OK,122.793,-77.267,-1667.109,OK,211.423,-82.173,-1656.905,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737700,1733246161.668795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737703,1733246161.718795799,1,OK,0.6986160,-0.1406174,0.2744729,-0.6456214,-46.542,183.682,-1582.206,0.2690346,3,OK,-46.567,183.771,-1582.172,OK,-79.163,261.064,-1540.696,OK,-18.586,277.244,-1600.681,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737703,1733246161.718795799,1,OK,0.9483424,0.0060930,-0.0161446,-0.3167789,171.941,-169.658,-1652.471,0.6397288,3,OK,172.355,-169.407,-1652.450,OK,122.778,-77.279,-1667.087,OK,211.397,-82.166,-1656.830,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737703,1733246161.718795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737706,1733246161.768795799,1,OK,0.6985595,-0.1404143,0.2746207,-0.6456640,-46.530,183.679,-1582.229,0.2786182,3,OK,-46.548,183.755,-1582.202,OK,-79.123,261.070,-1540.692,OK,-18.560,277.237,-1600.648,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737706,1733246161.768795799,1,OK,0.9483295,0.0053746,-0.0161044,-0.3168327,171.936,-169.656,-1652.458,0.6310031,3,OK,172.346,-169.412,-1652.438,OK,122.772,-77.291,-1667.173,OK,211.411,-82.168,-1656.956,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737706,1733246161.768795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737709,1733246161.818795799,1,OK,0.6985348,-0.1407301,0.2742358,-0.6457855,-46.438,183.694,-1582.148,0.2904768,3,OK,-46.473,183.777,-1582.104,OK,-79.027,261.100,-1540.714,OK,-18.472,277.253,-1600.657,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737709,1733246161.818795799,1,OK,0.9483087,0.0057662,-0.0163297,-0.3168764,171.936,-169.649,-1652.427,0.6404935,3,OK,172.354,-169.408,-1652.404,OK,122.793,-77.262,-1667.119,OK,211.410,-82.168,-1656.845,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737709,1733246161.818795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737712,1733246161.868795799,1,OK,0.6984263,-0.1407166,0.2744480,-0.6458156,-46.410,183.710,-1582.117,0.2928228,3,OK,-46.440,183.788,-1582.079,OK,-78.965,261.125,-1540.653,OK,-18.433,277.260,-1600.606,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737712,1733246161.868795799,1,OK,0.9483343,0.0062362,-0.0157914,-0.3168182,171.923,-169.666,-1652.525,0.6426101,3,OK,172.340,-169.413,-1652.504,OK,122.757,-77.273,-1667.067,OK,211.380,-82.178,-1656.864,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737712,1733246161.868795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737715,1733246161.918795799,1,OK,0.6983958,-0.1408103,0.2744618,-0.6458224,-46.410,183.706,-1582.115,0.2853078,3,OK,-46.442,183.776,-1582.075,OK,-78.964,261.125,-1540.650,OK,-18.429,277.262,-1600.626,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737715,1733246161.918795799,1,OK,0.9483161,0.0063420,-0.0164921,-0.3168349,171.923,-169.653,-1652.515,0.6334565,3,OK,172.338,-169.416,-1652.493,OK,122.774,-77.257,-1667.150,OK,211.400,-82.158,-1656.820,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737715,1733246161.918795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737718,1733246161.968795799,1,OK,0.6984699,-0.1407945,0.2741832,-0.6458640,-46.432,183.697,-1582.111,0.2938086,3,OK,-46.471,183.772,-1582.064,OK,-79.003,261.116,-1540.699,OK,-18.455,277.257,-1600.639,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737718,1733246161.968795799,1,OK,0.9483067,0.0058914,-0.0167761,-0.3168569,171.917,-169.653,-1652.449,0.6421588,3,OK,172.337,-169.413,-1652.426,OK,122.786,-77.266,-1667.191,OK,211.390,-82.171,-1656.835,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737718,1733246161.968795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737721,1733246162.018795799,1,OK,0.6984008,-0.1405732,0.2746768,-0.6457772,-46.436,183.707,-1582.159,0.2818956,3,OK,-46.457,183.775,-1582.130,OK,-78.987,261.118,-1540.636,OK,-18.447,277.259,-1600.609,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737721,1733246162.018795799,1,OK,0.9483071,0.0060646,-0.0162732,-0.3168786,171.922,-169.651,-1652.447,0.6375552,3,OK,172.341,-169.406,-1652.425,OK,122.771,-77.255,-1667.088,OK,211.404,-82.169,-1656.808,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737721,1733246162.018795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737724,1733246162.068795799,1,OK,0.6984244,-0.1408168,0.2743366,-0.6458431,-46.394,183.712,-1582.105,0.2935795,3,OK,-46.429,183.793,-1582.061,OK,-78.952,261.130,-1540.667,OK,-18.419,277.263,-1600.623,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737724,1733246162.068795799,1,OK,0.9483151,0.0061107,-0.0164274,-0.3168459,171.941,-169.638,-1652.455,0.6311288,3,OK,172.354,-169.393,-1652.434,OK,122.789,-77.252,-1667.113,OK,211.425,-82.148,-1656.805,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737724,1733246162.068795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737727,1733246162.118795799,1,OK,0.6984203,-0.1409132,0.2743556,-0.6458186,-46.374,183.705,-1582.072,0.2844800,3,OK,-46.408,183.780,-1582.029,OK,-78.938,261.125,-1540.630,OK,-18.401,277.262,-1600.611,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737727,1733246162.118795799,1,OK,0.9483427,0.0060878,-0.0162039,-0.3167751,171.938,-169.637,-1652.415,0.6396569,3,OK,172.355,-169.391,-1652.393,OK,122.773,-77.254,-1667.042,OK,211.394,-82.145,-1656.774,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737727,1733246162.118795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737730,1733246162.168795799,1,OK,0.6983661,-0.1407375,0.2745513,-0.6458323,-46.393,183.711,-1582.104,0.2882982,3,OK,-46.420,183.785,-1582.068,OK,-78.935,261.131,-1540.621,OK,-18.407,277.259,-1600.593,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737730,1733246162.168795799,1,OK,0.9482631,0.0045504,-0.0163444,-0.3170319,171.883,-169.621,-1652.305,0.6347156,3,OK,172.306,-169.380,-1652.284,OK,122.742,-77.244,-1667.178,OK,211.401,-82.170,-1656.953,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737730,1733246162.168795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737733,1733246162.218795799,1,OK,0.6983599,-0.1407713,0.2745708,-0.6458233,-46.391,183.738,-1582.146,0.2848291,3,OK,-46.419,183.808,-1582.110,OK,-78.934,261.157,-1540.661,OK,-18.405,277.289,-1600.642,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737733,1733246162.218795799,1,OK,0.9483069,0.0060852,-0.0164607,-0.3168691,171.932,-169.614,-1652.498,0.6393253,3,OK,172.349,-169.368,-1652.477,OK,122.792,-77.224,-1667.165,OK,211.409,-82.132,-1656.853,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737733,1733246162.218795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737736,1733246162.268795799,1,OK,0.6985872,-0.1403485,0.2743935,-0.6457449,-46.503,183.712,-1582.222,0.2876900,3,OK,-46.525,183.791,-1582.192,OK,-79.102,261.110,-1540.727,OK,-18.526,277.264,-1600.646,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737736,1733246162.268795799,1,OK,0.9483218,0.0058485,-0.0160514,-0.3168500,171.940,-169.614,-1652.448,0.6393160,3,OK,172.352,-169.361,-1652.428,OK,122.788,-77.236,-1667.084,OK,211.407,-82.128,-1656.856,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737736,1733246162.268795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737739,1733246162.318795799,1,OK,0.6989894,-0.1398578,0.2741435,-0.6455222,-46.832,183.678,-1582.439,0.2665890,3,OK,-46.842,183.761,-1582.419,OK,-79.551,261.039,-1540.910,OK,-18.879,277.247,-1600.790,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737739,1733246162.318795799,1,OK,0.9482864,0.0050238,-0.0156724,-0.3169890,171.906,-169.564,-1652.176,0.6331866,3,OK,172.312,-169.320,-1652.157,OK,122.769,-77.193,-1666.873,OK,211.397,-82.086,-1656.750,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737739,1733246162.318795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750737742,1733246162.368795799,1,OK,0.7001015,-0.1395408,0.2720220,-0.6452831,-47.412,183.566,-1582.594,0.2708627,3,OK,-47.450,183.656,-1582.546,OK,-80.448,260.890,-1541.355,OK,-19.579,277.196,-1601.019,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750737742,1733246162.368795799,1,OK,0.9482600,0.0035164,-0.0163279,-0.3170552,171.876,-169.467,-1651.597,0.6316880,3,OK,172.285,-169.223,-1651.578,OK,122.751,-77.132,-1666.612,OK,211.392,-82.017,-1656.445,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750737742,1733246162.368795799,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
