Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172677,1736959144.618264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172677,1736959144.618264629,1,OK,0.8901857,0.1211159,-0.2371756,-0.3696594,30.410,-84.444,-2035.140,0.3804041,3,OK,30.592,-84.924,-2035.054,OK,42.720,13.554,-2023.198,OK,-26.853,-17.431,-2066.146,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172677,1736959144.618264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Passive Strays,76172677,1736959144.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,Saturated,170.663,-245.784,-2027.596,OK,141.308,-345.885,-2060.862,OK,82.798,-258.244,-2063.553
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172680,1736959144.668264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172680,1736959144.668264629,1,OK,0.8900320,0.1208801,-0.2380371,-0.3695529,30.395,-84.434,-2035.054,0.3881131,3,OK,30.600,-84.916,-2034.953,OK,42.726,13.558,-2023.191,OK,-26.843,-17.425,-2066.236,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172680,1736959144.668264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Passive Strays,76172680,1736959144.668,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,Saturated,170.677,-245.793,-2027.678,OK,141.309,-345.880,-2060.858,OK,82.801,-258.237,-2063.625
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172683,1736959144.718264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172683,1736959144.718264629,1,OK,0.8901548,0.1214708,-0.2371146,-0.3696566,30.424,-84.438,-2035.235,0.3743406,3,OK,30.600,-84.914,-2035.153,OK,42.721,13.558,-2023.221,OK,-26.843,-17.423,-2066.204,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172683,1736959144.718264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Passive Strays,76172683,1736959144.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,Saturated,170.614,-246.059,-2028.781,OK,141.299,-345.885,-2060.878,OK,82.797,-258.234,-2063.612
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172686,1736959144.768264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172686,1736959144.768264629,1,OK,0.8902305,0.1213973,-0.2368542,-0.3696652,30.432,-84.442,-2035.219,0.3706712,3,OK,30.598,-84.912,-2035.142,OK,42.719,13.556,-2023.212,OK,-26.838,-17.434,-2066.142,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172686,1736959144.768264629,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Saturated,172.626,-255.445,-2067.329,OK,141.321,-345.899,-2060.940,OK,82.801,-258.247,-2063.634,Passive Strays,76172686,1736959144.768,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172689,1736959144.818413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172689,1736959144.818413975,1,OK,0.8901813,0.1208252,-0.2375349,-0.3695344,30.408,-84.427,-2035.113,0.3807723,3,OK,30.598,-84.904,-2035.022,OK,42.717,13.572,-2023.246,OK,-26.851,-17.435,-2066.208,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172689,1736959144.818413975,1,OK,0.9992361,-0.0282790,0.0212827,0.0165689,172.511,-255.300,-2067.389,0.1834485,3,OK,172.613,-255.458,-2067.384,OK,141.301,-345.880,-2060.892,OK,82.797,-258.221,-2063.480,Passive Strays,76172689,1736959144.818,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172692,1736959144.868413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172692,1736959144.868413975,1,OK,0.8902380,0.1207416,-0.2372851,-0.3695857,30.422,-84.432,-2035.164,0.3831245,3,OK,30.609,-84.912,-2035.075,OK,42.734,13.568,-2023.303,OK,-26.842,-17.435,-2066.218,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172692,1736959144.868413975,1,OK,0.9992319,-0.0285704,0.0210743,0.0165921,172.528,-255.310,-2067.452,0.1831472,3,OK,172.634,-255.464,-2067.447,OK,141.318,-345.891,-2060.915,OK,82.811,-258.238,-2063.579,Passive Strays,76172692,1736959144.868,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172695,1736959144.918413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172695,1736959144.918413975,1,OK,0.8900989,0.1212684,-0.2375621,-0.3695703,30.418,-84.444,-2035.153,0.3757694,3,OK,30.603,-84.919,-2035.065,OK,42.729,13.557,-2023.193,OK,-26.844,-17.441,-2066.223,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172695,1736959144.918413975,1,OK,0.9992362,-0.0290572,0.0201450,0.0166391,172.523,-255.303,-2067.374,0.1814355,3,OK,172.621,-255.458,-2067.369,OK,141.314,-345.878,-2060.811,OK,82.811,-258.246,-2063.667,Passive Strays,76172695,1736959144.918,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172698,1736959144.968413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172698,1736959144.968413975,1,OK,0.8902090,0.1211507,-0.2371276,-0.3696228,30.412,-84.431,-2035.219,0.3767770,3,OK,30.590,-84.906,-2035.135,OK,42.712,13.567,-2023.270,OK,-26.857,-17.426,-2066.214,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172698,1736959144.968413975,1,OK,0.9992230,-0.0288481,0.0211164,0.0165903,172.511,-255.303,-2067.442,0.1849127,3,OK,172.613,-255.461,-2067.437,OK,141.304,-345.875,-2060.853,OK,82.798,-258.230,-2063.561,Passive Strays,76172698,1736959144.968,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172701,1736959145.018413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172701,1736959145.018413975,1,OK,0.8901484,0.1211452,-0.2374559,-0.3695596,30.419,-84.434,-2035.113,0.3781705,3,OK,30.602,-84.912,-2035.026,OK,42.721,13.568,-2023.178,OK,-26.841,-17.435,-2066.169,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172701,1736959145.018413975,1,OK,0.9992213,-0.0287403,0.0213807,0.0165427,172.519,-255.302,-2067.424,0.1826682,3,OK,172.622,-255.457,-2067.419,OK,141.304,-345.876,-2060.837,OK,82.806,-258.218,-2063.497,Passive Strays,76172701,1736959145.018,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172704,1736959145.068413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172704,1736959145.068413975,1,OK,0.8901557,0.1206228,-0.2376471,-0.3695900,30.400,-84.436,-2035.060,0.3878102,3,OK,30.599,-84.916,-2034.963,OK,42.730,13.558,-2023.234,OK,-26.848,-17.431,-2066.188,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172704,1736959145.068413975,1,OK,0.9992364,-0.0284276,0.0210558,0.0165844,172.521,-255.296,-2067.378,0.1807382,3,OK,172.625,-255.446,-2067.374,OK,141.306,-345.877,-2060.869,OK,82.810,-258.226,-2063.510,Passive Strays,76172704,1736959145.068,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172707,1736959145.118413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172707,1736959145.118413975,1,OK,0.8902425,0.1211175,-0.2370091,-0.3696288,30.426,-84.430,-2035.165,0.3781013,3,OK,30.604,-84.906,-2035.081,OK,42.720,13.566,-2023.221,OK,-26.845,-17.424,-2066.139,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172707,1736959145.118413975,1,OK,0.9992276,-0.0287079,0.0210981,0.0165836,172.517,-255.296,-2067.428,0.1810162,3,OK,172.618,-255.450,-2067.424,OK,141.307,-345.875,-2060.866,OK,82.804,-258.220,-2063.552,Passive Strays,76172707,1736959145.118,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172710,1736959145.168413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172710,1736959145.168413975,1,OK,0.8901622,0.1214753,-0.2371082,-0.3696414,30.429,-84.447,-2035.243,0.3756227,3,OK,30.607,-84.924,-2035.160,OK,42.726,13.551,-2023.227,OK,-26.845,-17.432,-2066.214,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172710,1736959145.168413975,1,OK,0.9992222,-0.0285113,0.0216395,0.0165468,172.514,-255.308,-2067.439,0.1828454,3,OK,172.618,-255.464,-2067.435,OK,141.303,-345.886,-2060.876,OK,82.801,-258.222,-2063.466,Passive Strays,76172710,1736959145.168,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76172713,1736959145.218413975,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76172713,1736959145.218413975,1,OK,0.8901863,0.1211776,-0.2371836,-0.3696326,30.418,-84.436,-2035.162,0.3797009,3,OK,30.601,-84.914,-2035.075,OK,42.721,13.560,-2023.210,OK,-26.849,-17.425,-2066.166,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76172713,1736959145.218413975,1,OK,0.9992268,-0.0288094,0.0209900,0.0165928,172.516,-255.301,-2067.447,0.1843010,3,OK,172.622,-255.455,-2067.442,OK,141.305,-345.876,-2060.873,OK,82.799,-258.231,-2063.588,Passive Strays,76172713,1736959145.218,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
